combined,sentiment
Love coming here. The staff are super nice and the vibe is chill. Their coffee is nice and they have coffee/tea + cake/pastry sets which are perfect for afternoon tea. I think they also have all day breakfast sets with coffee/tea which my …,5
favourite place for a cuppa while our special child has his intervention programme at Music Theory Montessori centre next to King Albert Park MRT.,5
Went to order a birthday cake and was assisted by a helpful and friendly staff May. Clean and cozy outlet to chill and relax in.,5
Love the new sime darby centre makeover . Pleased that Cedele has come here !,5
"Love ordering and collecting my cakes at this Cedele branch. The staff are polite, friendly and efficient. Glad that they opened a branch here. Thank you",5
Their hearty breakfast never fails at anytime of the day. Grilled seabass is well grilled and the curry sauce matches the fish. Their ginger tea and cauliflower soup is a must try! A lot of healthy option meals are available. Free flow of sourdough bread available. Avoid lunch hours as the kitchen becomes very busy so the service lags.,5
"Cedele serves really quality food while they pride on healthy food, they are still able to whip out such yummy dishes !",5
Went to order a birthday cake today and was served by a very helpful lady staff at the counter (forgot to ask for her name). She was also helpful to the customer before me. Really appreciate her thoughtfulness and customer-oriented service.,5
"My family and I dined here last weekend and it turned out as one of the best family time. Ww were looking for a spot where we can comfortably leave our little pup for a while, while we have breakfast. We were glad to find a shed for our pup …",5
"Located on the 2nd floor of Greenwich, this is a bakery with a full lunch and dinner menu! The food is good especially the bread based dishes. Free flow of bread on a cutting board for soups. …",5
Been here a few times and I must say that their standard is always maintained at a good level. I came here specifically for their amazing Blueberry pancakes so it was a shame that they were out of stock this time :( …,5
Our most favourite branch for Cedele. Tried several branding under Cedele but this branch service was still the best. Our kids love their mushroom soup and they serve free flow of bread if you order soup. Their staff here are more friendly and attentive too. Our favourite cake was their walnut carrot cake and Matcha green tea cake.,5
Surprise! They still gives free breads with meals - used to be a hallmark of Cedele. …,5
"Love this outlet of cedele! The food is good, and the ambience is chill :) nice for afternoon tea or a family meal!",5
"Nice environment, healthy and tasty food options, and friendly staff!",5
Total matcha cake is great,5
Super love this outlet! V friendly staffs especially a senior lady staff. She is genuine in her approach to customer.. can see everyone loves her! Food is great! Healthy choices and good size.,5
"my mushroom soup taste like pumpkin soup with slices of button mushroom in it. Asked the manager (with the white specs) about the soup and he was like ""they're all like that. It has always been like that."" I honestly think if you're paid to …",5
Love the cakes here. Try!,5
"We're always here for mushroom soup (free flow bread), pesto thins, burger or pesto pasta, and blueberry lassi. Great family eatery.",5
"My husband left his wallet there accidentally, and the staff were very helpful in keeping it for him before he discovered it missing and went back, and even were out in the mall looking for him to return it! Thanks very much to the staff!",5
"one of the best cedele branches with ample seating space and good staff. The quality of the food is awesome too, considering you are paying very reasonable prices.",5
They have amazing walnut brownies. All time favorite place for brownies.,5
"favourite store, great food and service staff esp an aunty who has been working there for 6 years. peeps living in d vicinity pls support, show lots of it!",5
